timestamp,pH,turbidez_NTU,temperatura_C
2025-05-12 00:00:00-03:00,7.237,6.7,22.32
2025-05-12 00:15:00-03:00,7.232,7.0,21.76
2025-05-12 00:30:00-03:00,7.175,7.15,22.21
2025-05-12 00:45:00-03:00,7.187,6.23,22.29
2025-05-12 01:00:00-03:00,7.209,5.89,22.58
2025-05-12 01:15:00-03:00,7.149,6.87,22.72
2025-05-12 01:30:00-03:00,7.235,5.96,22.77
2025-05-12 01:45:00-03:00,7.139,7.12,22.96
2025-05-12 02:00:00-03:00,7.217,6.31,23.16
2025-05-12 02:15:00-03:00,7.173,6.71,22.99
2025-05-12 02:30:00-03:00,7.198,6.88,23.18
2025-05-12 02:45:00-03:00,7.19,6.45,23.28
2025-05-12 03:00:00-03:00,7.252,6.14,23.4
2025-05-12 03:15:00-03:00,7.13,6.51,23.52
2025-05-12 03:30:00-03:00,7.242,6.06,23.5
2025-05-12 03:45:00-03:00,7.149,6.76,23.38
2025-05-12 04:00:00-03:00,7.224,6.33,23.78
2025-05-12 04:15:00-03:00,7.159,6.2,23.68
2025-05-12 04:30:00-03:00,7.197,7.31,24.08
2025-05-12 04:45:00-03:00,7.254,7.0,23.75
2025-05-12 05:00:00-03:00,7.167,6.34,23.84
2025-05-12 05:15:00-03:00,7.208,6.87,24.01
2025-05-12 05:30:00-03:00,7.111,6.88,24.12
2025-05-12 05:45:00-03:00,7.261,6.7,24.02
2025-05-12 06:00:00-03:00,7.189,6.78,24.59
2025-05-12 06:15:00-03:00,7.248,6.37,24.04
2025-05-12 06:30:00-03:00,7.225,6.74,24.01
2025-05-12 06:45:00-03:00,7.153,6.43,23.68
2025-05-12 07:00:00-03:00,7.196,5.52,24.1
2025-05-12 07:15:00-03:00,7.169,6.36,23.95
2025-05-12 07:30:00-03:00,7.204,6.64,23.82
2025-05-12 07:45:00-03:00,7.265,6.71,23.63
2025-05-12 08:00:00-03:00,7.235,7.11,23.72
2025-05-12 08:15:00-03:00,7.219,5.78,23.54
2025-05-12 08:30:00-03:00,7.167,6.71,23.59
2025-05-12 08:45:00-03:00,7.301,6.09,23.73
2025-05-12 09:00:00-03:00,7.292,6.62,23.49
2025-05-12 09:15:00-03:00,7.183,7.37,23.24
2025-05-12 09:30:00-03:00,7.219,6.35,23.26
2025-05-12 09:45:00-03:00,7.205,6.65,23.1
2025-05-12 10:00:00-03:00,7.186,6.39,22.99
2025-05-12 10:15:00-03:00,7.204,7.52,23.07
2025-05-12 10:30:00-03:00,7.255,6.78,22.48
2025-05-12 10:45:00-03:00,7.097,6.86,22.83
2025-05-12 11:00:00-03:00,7.265,7.27,22.28
2025-05-12 11:15:00-03:00,7.23,7.27,22.38
2025-05-12 11:30:00-03:00,7.247,6.46,21.92
2025-05-12 11:45:00-03:00,7.126,6.46,22.07
2025-05-12 12:00:00-03:00,7.18,8.01,21.96
2025-05-12 12:15:00-03:00,7.184,6.2,21.74
2025-05-12 12:30:00-03:00,7.178,5.83,21.64
2025-05-12 12:45:00-03:00,7.1,7.51,21.75
2025-05-12 13:00:00-03:00,7.174,7.3,21.59
2025-05-12 13:15:00-03:00,7.2,6.72,21.56
2025-05-12 13:30:00-03:00,7.184,7.09,20.83
2025-05-12 13:45:00-03:00,7.243,6.5,21.1
2025-05-12 14:00:00-03:00,7.197,6.15,21.16
2025-05-12 14:15:00-03:00,7.248,6.18,20.73
2025-05-12 14:30:00-03:00,7.103,6.62,20.91
2025-05-12 14:45:00-03:00,7.164,6.04,20.42
2025-05-12 15:00:00-03:00,7.24,6.32,20.53
2025-05-12 15:15:00-03:00,7.225,6.44,20.32
2025-05-12 15:30:00-03:00,7.167,6.2,20.4
2025-05-12 15:45:00-03:00,7.187,6.41,20.97
2025-05-12 16:00:00-03:00,7.178,5.85,20.63
2025-05-12 16:15:00-03:00,7.279,6.12,20.58
2025-05-12 16:30:00-03:00,7.203,6.74,19.92
2025-05-12 16:45:00-03:00,7.22,6.31,20.12
2025-05-12 17:00:00-03:00,7.162,7.33,20.09
2025-05-12 17:15:00-03:00,7.084,6.85,20.41
2025-05-12 17:30:00-03:00,7.19,6.46,20.24
2025-05-12 17:45:00-03:00,7.213,6.41,20.04
2025-05-12 18:00:00-03:00,7.271,7.99,19.94
2025-05-12 18:15:00-03:00,7.22,6.19,19.72
2025-05-12 18:30:00-03:00,7.157,7.65,19.92
2025-05-12 18:45:00-03:00,7.207,6.76,19.67
2025-05-12 19:00:00-03:00,7.307,6.4,19.91
2025-05-12 19:15:00-03:00,7.192,6.48,20.22
2025-05-12 19:30:00-03:00,7.239,7.69,20.18
2025-05-12 19:45:00-03:00,7.197,6.61,20.02
2025-05-12 20:00:00-03:00,7.198,6.77,19.93
2025-05-12 20:15:00-03:00,7.25,6.93,20.53
2025-05-12 20:30:00-03:00,7.168,6.47,20.29
2025-05-12 20:45:00-03:00,7.202,7.1,20.54
2025-05-12 21:00:00-03:00,7.184,6.5,20.59
2025-05-12 21:15:00-03:00,7.251,6.55,20.56
2025-05-12 21:30:00-03:00,7.193,6.42,21.18
2025-05-12 21:45:00-03:00,7.284,6.19,20.66
2025-05-12 22:00:00-03:00,7.229,6.07,21.21
2025-05-12 22:15:00-03:00,7.239,6.15,21.06
2025-05-12 22:30:00-03:00,7.21,6.56,21.05
2025-05-12 22:45:00-03:00,7.204,7.04,21.27
2025-05-12 23:00:00-03:00,7.239,5.75,21.29
2025-05-12 23:15:00-03:00,7.229,6.25,21.51
2025-05-12 23:30:00-03:00,7.256,6.51,21.57
2025-05-12 23:45:00-03:00,7.162,7.23,21.86
2025-05-13 00:00:00-03:00,7.074,4.44,22.35
2025-05-13 00:15:00-03:00,7.174,3.98,22.31
2025-05-13 00:30:00-03:00,7.167,4.29,22.2
2025-05-13 00:45:00-03:00,7.167,3.81,22.41
2025-05-13 01:00:00-03:00,7.225,3.78,22.17
2025-05-13 01:15:00-03:00,7.23,3.53,22.81
2025-05-13 01:30:00-03:00,7.198,4.23,22.59
2025-05-13 01:45:00-03:00,7.21,4.18,22.86
2025-05-13 02:00:00-03:00,7.294,3.68,22.99
2025-05-13 02:15:00-03:00,7.241,3.85,23.16
2025-05-13 02:30:00-03:00,7.199,4.08,23.24
2025-05-13 02:45:00-03:00,7.205,3.28,23.39
2025-05-13 03:00:00-03:00,7.181,4.53,23.43
2025-05-13 03:15:00-03:00,7.237,3.98,23.94
2025-05-13 03:30:00-03:00,7.117,4.29,23.75
2025-05-13 03:45:00-03:00,7.086,4.59,23.83
2025-05-13 04:00:00-03:00,7.204,3.6,23.99
2025-05-13 04:15:00-03:00,7.167,4.34,23.93
2025-05-13 04:30:00-03:00,7.111,3.33,23.88
2025-05-13 04:45:00-03:00,7.136,3.8,23.76
2025-05-13 05:00:00-03:00,7.178,4.24,23.6
2025-05-13 05:15:00-03:00,7.247,4.18,23.88
2025-05-13 05:30:00-03:00,7.222,4.4,24.15
2025-05-13 05:45:00-03:00,7.188,3.85,23.73
2025-05-13 06:00:00-03:00,7.226,3.62,24.02
2025-05-13 06:15:00-03:00,7.166,4.17,24.19
2025-05-13 06:30:00-03:00,7.263,4.07,23.72
2025-05-13 06:45:00-03:00,7.183,4.7,23.71
2025-05-13 07:00:00-03:00,7.154,2.7,23.78
2025-05-13 07:15:00-03:00,7.149,4.7,24.17
